netflix_original_title,netflix_title,season_name,netflix_episode_title,expected_type,title,year,source_id,episode_title,found_source,had_override
Godzilla Singular Point: Together,Godzilla Singular Point,,Together,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Good Witch: Season 1: Apologies and Remembrances,Good Witch,Season 1,Apologies and Remembrances,series,Nishi no Yoki Majo: Astraea Testament,2006,tt3906732,,anime+imdb,yes
Good Witch: Season 1: Do the Right Thing,Good Witch,Season 1,Do the Right Thing,series,,,,,,
Good Witch: Season 1: Running Scared,Good Witch,Season 1,Running Scared,series,,,,,,
Good Witch: Season 1: Starting Over … Again,Good Witch,Season 1,Starting Over … Again,series,,,,,,
Great Pretender: Season 2: Case 4_1: Wizard of Far East,Great Pretender,Season 2,Case 4_1: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_1: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_2: Wizard of Far East,Great Pretender,Season 2,Case 4_2: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_2: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_3: Wizard of Far East,Great Pretender,Season 2,Case 4_3: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_3: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_4: Wizard of Far East,Great Pretender,Season 2,Case 4_4: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_4: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_5: Wizard of Far East,Great Pretender,Season 2,Case 4_5: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_5: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_6: Wizard of Far East,Great Pretender,Season 2,Case 4_6: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_6: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_7: Wizard of Far East,Great Pretender,Season 2,Case 4_7: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_7: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_8: Wizard of Far East,Great Pretender,Season 2,Case 4_8: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_8: Wizard of Far East,anime+imdb,yes
Great Pretender: Season 2: Case 4_9: Wizard of Far East,Great Pretender,Season 2,Case 4_9: Wizard of Far East,series,Great Pretender,2020,tt11680468,Case 4_9: Wizard of Far East,anime+imdb,yes
Guilty Crown: A Preparation,Guilty Crown,,A Preparation,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Courtship Behavior,Guilty Crown,,Courtship Behavior,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Flux,Guilty Crown,,Flux,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Genesis,Guilty Crown,,Genesis,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Leukocytes,Guilty Crown,,Leukocytes,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Prey,Guilty Crown,,Prey,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Retraction,Guilty Crown,,Retraction,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Survival of the Fittest,Guilty Crown,,Survival of the Fittest,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Temptation,Guilty Crown,,Temptation,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Guilty Crown: Void-Sampling,Guilty Crown,,Void-Sampling,series,Guilty Crown,2011,tt2122656,,anime+imdb,yes
Halo 4: Forward Unto Dawn,Halo 4,,Forward Unto Dawn,series,Halo 4: Forward Unto Dawn,2012,tt2262308,,imdb,yes
Harlock: Space Pirate,Harlock,,Space Pirate,series,,,,,,
Heaven Official's Blessing: Episode 1,Heaven Official's Blessing,,,series,,,,,imdb,
I'm Quitting Heroing: I’m Quitting Heroing: A Little Bit of Thought Goes A Long Way for Efficiency!,I'm Quitting Heroing: I’m Quitting Heroing,,A Little Bit of Thought Goes A Long Way for Efficiency!,series,,,,,,
"I'm Quitting Heroing: I’m Quitting Heroing: I'll Save the World, Even If That Means Destroying It",I'm Quitting Heroing: I’m Quitting Heroing,,"I'll Save the World, Even If That Means Destroying It",series,,,,,,
I'm Quitting Heroing: I’m Quitting Heroing: I'm Quitting Heroing,I'm Quitting Heroing: I’m Quitting Heroing,,I'm Quitting Heroing,series,,,,,,
"I'm Quitting Heroing: I’m Quitting Heroing: If You Want to Quit, Talk It Out First",I'm Quitting Heroing: I’m Quitting Heroing,,"If You Want to Quit, Talk It Out First",series,,,,,,
I'm Quitting Heroing: I’m Quitting Heroing: My Next Interview's at the Demon Queen's Palace!,I'm Quitting Heroing: I’m Quitting Heroing,,My Next Interview's at the Demon Queen's Palace!,series,,,,,,
I'm Quitting Heroing: I’m Quitting Heroing: Strive to Ease the Burden on Your Future Self!,I'm Quitting Heroing: I’m Quitting Heroing,,Strive to Ease the Burden on Your Future Self!,series,,,,,,
IF,IF,,,movie,,,,,,
Initial D,Initial D,,,series,Initial D First Stage,1998,tt0385426,,anime+imdb,
Into the Night: Season 1: Ayaz,Into the Night,Season 1,Ayaz,series,,,,,,
Into the Night: Season 1: Jakub,Into the Night,Season 1,Jakub,series,,,,,,
Into the Night: Season 1: Mathieu,Into the Night,Season 1,Mathieu,series,,,,,,
Into the Night: Season 1: Rik,Into the Night,Season 1,Rik,series,,,,,,
Into the Night: Season 1: Sylvie,Into the Night,Season 1,Sylvie,series,,,,,,
Into the Night: Season 1: Terenzio,Into the Night,Season 1,Terenzio,series,,,,,,
Into the Night: Season 2: Asil,Into the Night,Season 2,Asil,series,,,,,,
Into the Night: Season 2: Gia,Into the Night,Season 2,Gia,series,,,,,,
Into the Night: Season 2: Ines,Into the Night,Season 2,Ines,series,,,,,,
Into the Night: Season 2: Laura,Into the Night,Season 2,Laura,series,,,,,,
Into the Night: Season 2: Théa,Into the Night,Season 2,Théa,series,,,,,,
Into the Night: Season 2: Zara,Into the Night,Season 2,Zara,series,,,,,,
IO,IO,,,series,Io,2025,tt13587032,,anime+imdb,
Jin: Jin (Final): Episode 2,Jin: Jin (Final),,,series,,,,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: A Hero's Proof,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,A Hero's Proof,series,,,,,,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: A Hundred Against Two,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,A Hundred Against Two,series,,,,,,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: A Race Toward the Blink,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,A Race Toward the Blink,series,JoJo's Bizarre Adventure,2012,tt2359704,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Bloody Battle! JoJo & Dio,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Bloody Battle! JoJo & Dio,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: JoJo vs. The Ultimate Lifeform,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,JoJo vs. The Ultimate Lifeform,series,,,,,,
"JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Lisa Lisa, Hamon Coach",JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,"Lisa Lisa, Hamon Coach",series,,,,,,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: New York's JoJo,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,New York's JoJo,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Overdrive,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Overdrive,series,,,,,,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Sorrowful Successor,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Sorrowful Successor,series,,,,,,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: The Deeper Plan,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,The Deeper Plan,series,JoJo's Bizarre Adventure,2012,tt2359704,,imdb,
